time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,321111;-0,0215;0,1373;0,9782;0,988;standing;Samsung Galaxy S10;Isaías
1,325464;-0,0198;0,1383;0,9823;0,992;standing;Samsung Galaxy S10;Isaías
1,330427;-0,0176;0,1405;0,9882;0,998;standing;Samsung Galaxy S10;Isaías
1,336072;-0,0146;0,1437;0,9904;1,001;standing;Samsung Galaxy S10;Isaías
1,340675;-0,0125;0,1434;0,9931;1,003;standing;Samsung Galaxy S10;Isaías
1,345722;-0,0098;0,1446;0,9979;1,008;standing;Samsung Galaxy S10;Isaías
1,354796;-0,0098;0,1446;0,9962;1,007;standing;Samsung Galaxy S10;Isaías
1,360533;-0,009;0,1424;0,9967;1,007;standing;Samsung Galaxy S10;Isaías
1,361512;-0,0068;0,1427;0,9923;1,003;standing;Samsung Galaxy S10;Isaías
1,36607;-0,0083;0,1434;0,9889;0,999;standing;Samsung Galaxy S10;Isaías
1,371971;-0,0088;0,1417;0,9852;0,995;standing;Samsung Galaxy S10;Isaías
1,376154;-0,0081;0,1405;0,9867;0,997;standing;Samsung Galaxy S10;Isaías
1,381601;-0,0098;0,1387;0,9845;0,994;standing;Samsung Galaxy S10;Isaías
1,386804;-0,0107;0,137;0,9877;0,997;standing;Samsung Galaxy S10;Isaías
1,392183;-0,0085;0,1375;0,9882;0,998;standing;Samsung Galaxy S10;Isaías
1,396428;-0,0117;0,1373;0,9896;0,999;standing;Samsung Galaxy S10;Isaías
1,40198;-0,0134;0,1378;0,9887;0,998;standing;Samsung Galaxy S10;Isaías
1,406723;-0,0139;0,1363;0,9865;0,996;standing;Samsung Galaxy S10;Isaías
1,412065;-0,0139;0,1387;0,9848;0,995;standing;Samsung Galaxy S10;Isaías
1,416661;-0,0142;0,1395;0,9877;0,998;standing;Samsung Galaxy S10;Isaías
1,422051;-0,0142;0,1424;0,9918;1,002;standing;Samsung Galaxy S10;Isaías
1,426801;-0,0127;0,1441;0,9979;1,008;standing;Samsung Galaxy S10;Isaías
1,432314;-0,0129;0,1441;1,0001;1,011;standing;Samsung Galaxy S10;Isaías
1,437313;-0,0088;0,1473;1,0004;1,011;standing;Samsung Galaxy S10;Isaías
1,442312;-0,0066;0,1466;0,9967;1,007;standing;Samsung Galaxy S10;Isaías
1,447057;-0,0076;0,1437;0,9918;1,002;standing;Samsung Galaxy S10;Isaías
1,452906;-0,0063;0,1422;0,9879;0,998;standing;Samsung Galaxy S10;Isaías
1,457499;-0,0044;0,1412;0,9877;0,998;standing;Samsung Galaxy S10;Isaías
1,462448;0,0002;0,1402;0,9862;0,996;standing;Samsung Galaxy S10;Isaías
1,468646;-0,0007;0,1402;0,9882;0,998;standing;Samsung Galaxy S10;Isaías
1,479098;-0,0007;0,1422;0,9913;1,001;standing;Samsung Galaxy S10;Isaías
1,479631;0,0012;0,1434;0,9965;1,007;standing;Samsung Galaxy S10;Isaías
1,482767;0,0044;0,1456;0,9967;1,007;standing;Samsung Galaxy S10;Isaías
1,487808;0,0051;0,1459;0,9957;1,006;standing;Samsung Galaxy S10;Isaías
1,49279;0,0034;0,1483;0,9931;1,004;standing;Samsung Galaxy S10;Isaías
1,497657;0,0034;0,1449;0,9894;1;standing;Samsung Galaxy S10;Isaías
1,503216;0,0005;0,1424;0,9774;0,988;standing;Samsung Galaxy S10;Isaías
1,508575;-0,0063;0,1358;0,9659;0,975;standing;Samsung Galaxy S10;Isaías
1,513192;-0,0134;0,129;0,9511;0,96;standing;Samsung Galaxy S10;Isaías
1,519961;-0,0195;0,1258;0,9408;0,949;standing;Samsung Galaxy S10;Isaías
1,52358;-0,0215;0,1273;0,9361;0,945;standing;Samsung Galaxy S10;Isaías
1,528234;-0,0205;0,1285;0,9356;0,945;standing;Samsung Galaxy S10;Isaías
1,53364;-0,0176;0,1312;0,9403;0,95;standing;Samsung Galaxy S10;Isaías
1,538938;-0,0146;0,1351;0,9476;0,957;standing;Samsung Galaxy S10;Isaías
1,543669;-0,0156;0,1387;0,954;0,964;standing;Samsung Galaxy S10;Isaías
1,548469;-0,0093;0,1419;0,9572;0,968;standing;Samsung Galaxy S10;Isaías
1,558482;-0,0093;0,1437;0,9686;0,979;standing;Samsung Galaxy S10;Isaías
