actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.45401082108045593,0.21642243657505303,0.7141256617091004,1.0286799999999987,1.103269862019806e-06,3.87200708641931e-07,1.950466680972602e-06,7.71760000000003e-06,0.45390715347761446,0.21641120507399575,0.7140912528358961,1.029,0.06500601526565664,0.13067634536544004,2.634698934998891,2.7124822068505
Standing,Alvaro,Unespecified,1,0,0.45400132165868173,0.21642521141649063,0.7141231409125287,1.0286649999999988,1.0843720384033248e-06,3.894912343728376e-07,1.941102179062497e-06,7.662775000000024e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.10460605167133386,0.08519335229572134,2.6896921715192192,2.7996493899114965
Standing,Alvaro,Unespecified,1,0,0.45399388732859763,0.21643102536997902,0.7141105369296702,1.0286324999999987,1.0838063813700957e-06,3.787069819960782e-07,1.9456360544189884e-06,7.697443750000027e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.11700587601184376,0.1301840336499871,2.6896151398043475,2.7861159179228174
Standing,Alvaro,Unespecified,1,0,0.45397839914092203,0.21641252642706138,0.7141049911772118,1.0286149999999992,1.0971535247638679e-06,3.695441108439254e-07,1.932004689685651e-06,7.641775000000024e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.13322853727843986,0.20591913759165026,2.7727865793765716,2.878275257092043
Standing,Alvaro,Unespecified,1,0,0.4539986370394847,0.21640473044397468,0.7141250315099573,1.028649999999999,1.0946107974606957e-06,3.6921061236473853e-07,1.8283078909956239e-06,7.2475000000000174e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.1322051604091401,0.1492738761883441,2.9425316624006115,3.0297830811044806
Standing,Alvaro,Unespecified,1,0,0.45404097141913125,0.2163970665961946,0.7141233929921857,1.028649999999999,1.065302095381978e-06,3.704633835745507e-07,1.8225634836277818e-06,7.252500000000018e-06,0.4540723608128201,0.21633192389006342,0.7140912528358961,1.029,0.18577868879355997,0.11039537329167848,2.9815407730951735,3.0270551787050746
Standing,Alvaro,Unespecified,1,0,0.45405398149677867,0.21639164904862576,0.7141225107133855,1.028652499999999,1.049215285286704e-06,3.7779551376889277e-07,1.7985806650772872e-06,7.161743750000019e-06,0.4540723608128201,0.21633192389006342,0.7140912528358961,1.029,0.20184620207298787,0.06545337796285189,3.1245297232493554,3.1558986638682605
Standing,Alvaro,Unespecified,1,0,0.4540050388237238,0.21639508456659623,0.7141520040332745,1.0287099999999991,1.0557846940385005e-06,3.806138648767061e-07,1.7144923689508554e-06,6.8209000000000205e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.2459490155606927,0.04337215234575309,3.4289706297211673,3.482848785854909
Standing,Alvaro,Unespecified,1,0,0.4539420535271767,0.21640182346723053,0.714132215780186,1.028669999999999,1.0861365181794e-06,3.804085907224839e-07,1.616391300195384e-06,6.426100000000023e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.24212860312317597,-0.015041163331973362,4.022327969707899,4.084995355274078
Standing,Alvaro,Unespecified,1,0,0.45394370560052877,0.21640340909090916,0.7141094025712118,1.0286274999999991,1.094581798155613e-06,3.7963966380643823e-07,1.5904222184929151e-06,6.3287437500000175e-06,0.45390715347761446,0.21641120507399575,0.7140912528358961,1.029,0.22718074066837923,-0.023270616265195443,4.244581716804445,4.291999849250878
Standing,Alvaro,Unespecified,1,0,0.45402032050223035,0.2164069767441861,0.7141196117973273,1.0286524999999989,1.1077263728741869e-06,3.756738062566792e-07,1.5621087070169355e-06,6.1967437500000195e-06,0.4539897571452173,0.2164904862579281,0.7140912528358961,1.029,0.22336061773385252,-0.02576520395982973,4.429452155196962,4.500153547476976
